dantzig42, 0.0431s, 12528
swiss42, 0.047s, 22327
att48, 0.0794s, 209389*
gr48, 0.0688s, 102455*
hk48, 0.0676s, 247926
eil51, 0.0803s, 10228.9*
berlin52, 0.0956s, 143721
brazil58, 0.1283s, 512361
st70, 0.2366s, 20557
eil76, 0.2879s, 18084.5*
pr76, 0.3166s, 3.4589e+06*
gr96, 0.6801s, 2.09975e+06
rat99, 0.741s, 58314.8*
kroA100, 1.1021s, 983128
kroB100, 0.8372s, 989960*
kroC100, 0.877s, 961520*
kroD100, 0.7906s, 978982*
kroE100, 0.8231s, 971713*
rd100, 0.7932s, 340529*
eil101, 0.7478s, 27701.4*
lin105, 0.9412s, 603910
pr107, 1.1695s, 2.02663e+06
att48, 0.1073s, 209389
gr96, 1.3614s, 2.09768e+06
att48, 0.1002s, 209354
att48, 0.1053s, 209354
att48, 0.2342s, 209320
att48, 0.3558s, 209354
eil51, 0.5087s, 10198.6
kroD100, 9.3404s, 976965
